Value,Type
hxxps://a0b6de4b-5060-4360-9623-8bbb76e5b670.usrfiles.com/ugd/a0b6de_47258ffcd6a14a949917fe100118be1c.pdf,URL
hxxps://noticecenters.org/Home/?Activation=##az-AZ-09-{99}##,URL
hxxps://t.co/0xvt4cRwWA?EmailUser=-email-,URL
hxxps://dhiparcel-management.support-livechat.24mhd.com/1_Chi_Chat.php,URL
hxxps://dhiparcel-management.support-livechat.24mhd.com/2_Chi_Contact.php,URL
hxxps://dhiparcel-management.support-livechat.24mhd.com/3_Chi_Pay.php,URL
hxxps://dhiparcel-management.support-livechat.24mhd.com/4_Chi_Load.php,URL
hxxps://dhiparcel-management.support-livechat.24mhd.com/5_Chi_3D.php,URL
hxxps://dhiparcel-management.support-livechat.24mhd.com/6_Chi_Confirm.php,URL
hxxps://www.live-support.net/1_Chi_Chat.php,URL
hxxps://www.live-support.net/2_Chi_Contact.php,URL
hxxps://www.live-support.net/3_Chi_Pay.php,URL
hxxps://www.live-support.net/4_Chi_Load.php,URL
hxxps://www.live-support.net/5_Chi_3D.php,URL
hxxps://www.live-support.net/6_Chi_Confirm.php,URL
